Time,Tair_mean,Tfuel_mean,rhoAir_mean,rhoFuel_mean,nuAir_mean,nuFuel_mean,kAir_mean,kFuel_mean,Nern_max,ibar,Energy_t_mean,mean_curr,V
37,1090.644,1092.809,0.3209011,0.0360486,0.000141988,0.000834608,0.07530653,0.3188327,1.061389,5033.43,1092.948,5218.442,0.8692399
38,1091.328,1093.509,0.3206858,0.03609006,0.000142133,0.00083483,0.07534293,0.3186325,1.06102,5066.149,1093.548,5252.54,0.8699014
39,1091.916,1094.112,0.3205005,0.0361278,0.000142258,0.000834996,0.07537421,0.3184489,1.060701,5092.632,1094.038,5281.225,0.8708278
40,1092.398,1094.606,0.3203485,0.03616086,0.00014236,0.000835107,0.07539977,0.3182864,1.06044,5112.614,1094.415,5304.066,0.8719539
41,1092.769,1094.986,0.3202315,0.03618847,0.000142439,0.000835165,0.07541936,0.318149,1.060236,5126.101,1094.678,5320.888,0.8732149
42,1093.026,1095.25,0.3201499,0.03621022,0.000142493,0.000835175,0.07543291,0.3180386,1.060094,5133.344,1094.829,5331.763,0.8745483
43,1093.174,1095.402,0.3201024,0.03622599,0.000142524,0.000835142,0.07544065,0.3179559,1.060008,5134.795,1094.876,5336.975,0.8758963
44,1093.22,1095.45,0.3200869,0.03623587,0.000142534,0.000835073,0.07544294,0.3179009,1.059977,5131.076,1094.83,5336.988,0.8772071
45,1093.174,1095.404,0.3201002,0.03624014,0.000142524,0.000834975,0.07544036,0.3178723,1.059994,5122.926,1094.703,5332.404,0.8784363
46,1093.049,1095.276,0.3201385,0.0362393,0.000142497,0.000834854,0.07543355,0.3178682,1.060054,5111.168,1094.509,5323.93,0.879548
47,1092.858,1095.082,0.3201974,0.03623396,0.000142456,0.000834719,0.07542328,0.3178859,1.060149,5096.661,1094.264,5312.336,0.8805146
48,1092.616,1094.835,0.3202724,0.03622482,0.000142404,0.000834575,0.07541031,0.3179225,1.060271,5080.266,1093.982,5298.417,0.8813173
49,1092.339,1094.552,0.3203588,0.03621265,0.000142345,0.000834431,0.07539547,0.3179744,1.060412,5062.816,1093.678,5282.963,0.8819454
50,1092.04,1094.246,0.3204521,0.03619825,0.000142281,0.00083429,0.07537949,0.3180381,1.060565,5045.081,1093.367,5266.729,0.8823962
51,1091.734,1093.933,0.320548,0.03618239,0.000142216,0.000834159,0.07536313,0.3181099,1.060723,5027.751,1093.06,5250.407,0.8826738
52,1091.431,1093.624,0.3206428,0.03616583,0.000142152,0.00083404,0.075347,0.3181864,1.060879,5011.418,1092.768,5234.611,0.8827879
53,1091.144,1093.33,0.3207329,0.03614924,0.000142091,0.000833938,0.0753317,0.3182642,1.061028,4996.569,1092.5,5219.865,0.8827536
54,1090.88,1093.061,0.3208159,0.03613324,0.000142034,0.000833852,0.07531766,0.3183404,1.061165,4983.575,1092.263,5206.588,0.8825894
55,1090.648,1092.823,0.3208893,0.03611833,0.000141985,0.000833786,0.07530527,0.3184124,1.061285,4972.696,1092.062,5195.097,0.8823163
56,1090.45,1092.621,0.3209517,0.03610494,0.000141943,0.000833739,0.07529477,0.318478,1.061389,4964.085,1091.901,5185.605,0.8819572
57,1090.291,1092.458,0.3210019,0.03609336,0.000141909,0.000833711,0.07528636,0.3185355,1.061471,4957.791,1091.78,5178.228,0.8815351
58,1090.172,1092.336,0.3210397,0.03608381,0.000141884,0.0008337,0.07528005,0.3185839,1.061533,4953.774,1091.699,5172.988,0.8810728
59,1090.092,1092.255,0.3210651,0.0360764,0.000141868,0.000833705,0.07527586,0.3186223,1.061574,4951.914,1091.656,5169.826,0.880592
60,1090.05,1092.212,0.3210787,0.03607114,0.000141859,0.000833724,0.07527368,0.3186505,1.061596,4952.029,1091.649,5168.617,0.8801122
61,1090.044,1092.205,0.3210811,0.03606798,0.000141857,0.000833754,0.07527337,0.3186687,1.061599,4953.882,1091.674,5169.176,0.8796511
62,1090.068,1092.23,0.3210739,0.03606677,0.000141863,0.000833794,0.07527469,0.3186773,1.061586,4957.206,1091.726,5171.277,0.8792231
63,1090.118,1092.281,0.3210582,0.03606734,0.000141874,0.00083384,0.07527744,0.3186773,1.061559,4961.706,1091.799,5174.664,0.8788402
64,1090.19,1092.355,0.3210358,0.03606945,0.000141889,0.000833891,0.07528131,0.3186696,1.061521,4967.082,1091.889,5179.063,0.878511
65,1090.279,1092.446,0.3210081,0.03607284,0.000141908,0.000833943,0.07528608,0.3186555,1.061473,4973.035,1091.991,5184.194,0.8782414
66,1090.379,1092.548,0.3209769,0.03607723,0.000141929,0.000833995,0.07529141,0.3186361,1.061421,4979.28,1092.099,5189.788,0.8780342
67,1090.485,1092.657,0.3209436,0.03608235,0.000141952,0.000834046,0.07529709,0.318613,1.061364,4985.556,1092.208,5195.583,0.8778897
68,1090.592,1092.767,0.3209099,0.03608791,0.000141975,0.000834092,0.07530282,0.3185872,1.061307,4991.627,1092.315,5201.344,0.877806
69,1090.698,1092.874,0.3208769,0.03609367,0.000141997,0.000834133,0.07530843,0.3185602,1.061251,4997.294,1092.416,5206.864,0.8777789
70,1090.796,1092.975,0.3208458,0.03609938,0.000142018,0.000834169,0.07531369,0.3185331,1.061198,5002.398,1092.507,5211.969,0.8778029
71,1090.886,1093.067,0.3208175,0.03610483,0.000142037,0.000834198,0.07531846,0.318507,1.06115,5006.815,1092.587,5216.518,0.8778711
72,1090.964,1093.147,0.3207929,0.03610986,0.000142054,0.00083422,0.07532262,0.3184825,1.061108,5010.463,1092.653,5220.411,0.8779757
73,1091.03,1093.214,0.3207722,0.03611432,0.000142067,0.000834235,0.07532609,0.3184606,1.061073,5013.298,1092.706,5223.579,0.8781087
74,1091.081,1093.267,0.3207559,0.03611811,0.000142078,0.000834244,0.07532881,0.3184416,1.061044,5015.31,1092.744,5225.991,0.8782618
75,1091.118,1093.305,0.320744,0.03612117,0.000142086,0.000834246,0.07533078,0.318426,1.061024,5016.519,1092.767,5227.646,0.878427
76,1091.142,1093.329,0.3207366,0.03612348,0.000142091,0.000834243,0.07533199,0.318414,1.061011,5016.977,1092.778,5228.571,0.8785967
77,1091.152,1093.34,0.3207332,0.03612502,0.000142093,0.000834235,0.07533252,0.3184055,1.061004,5016.753,1092.776,5228.818,0.8787643
78,1091.15,1093.338,0.3207337,0.03612583,0.000142093,0.000834224,0.07533239,0.3184005,1.061004,5015.934,1092.763,5228.455,0.8789236
79,1091.137,1093.325,0.3207375,0.03612597,0.00014209,0.000834209,0.07533171,0.3183988,1.061009,5014.621,1092.741,5227.568,0.8790698
80,1091.116,1093.303,0.3207442,0.0361255,0.000142085,0.000834192,0.07533054,0.3184001,1.06102,5012.919,1092.712,5226.25,0.879199
81,1091.087,1093.274,0.320753,0.03612451,0.000142079,0.000834174,0.07532901,0.3184039,1.061034,5010.936,1092.678,5224.601,0.8793084
82,1091.053,1093.239,0.3207636,0.0361231,0.000142072,0.000834155,0.07532718,0.3184099,1.061051,5008.779,1092.64,5222.718,0.8793961
83,1091.016,1093.201,0.3207752,0.03612136,0.000142064,0.000834137,0.0753252,0.3184176,1.06107,5006.547,1092.6,5220.7,0.8794616
84,1090.977,1093.161,0.3207874,0.03611939,0.000142056,0.00083412,0.0753231,0.3184265,1.06109,5004.33,1092.561,5218.636,0.8795049
85,1090.938,1093.121,0.3207996,0.0361173,0.000142047,0.000834104,0.07532103,0.3184361,1.061109,5002.208,1092.522,5216.606,0.879527
86,1090.9,1093.083,0.3208115,0.03611516,0.000142039,0.000834089,0.075319,0.3184461,1.061129,5000.25,1092.486,5214.683,0.8795295
87,1090.865,1093.047,0.3208225,0.03611307,0.000142032,0.000834078,0.07531713,0.318456,1.061146,4998.505,1092.454,5212.923,0.8795146
