Time,Tair_min,Tair_mean,Tair_max,Tfuel_min,Tfuel_mean,Tfuel_max,rhoAir_min,rhoAir_mean,rhoAir_max,rhoFuel_min,rhoFuel_mean,rhoFuel_max,muAir_min,muAir_mean,muAir_max,muFuel_min,muFuel_mean,muFuel_max,nuAir_min,nuAir_mean,nuAir_max,nuFuel_min,nuFuel_mean,nuFuel_max,kAir_min,kAir_mean,kAir_max,kFuel_min,kFuel_mean,kFuel_max,sumVolume,Nern_min,Nern_max,ibar0,ibar,stack_Voltage,min_curr,max_curr,Energy_Ir,Energy_Fr,Energy_t_min,Energy_t_mean,Energy_t_max,mean_curr,V
12,1002.169,1108.241,1115.572,1036.162,1110.717,1115.569,0.307385,0.31542,0.3508879,0.02741056,0.03729148,0.05529339,4.34E-05,4.60E-05,4.64E-05,2.50E-05,3.07E-05,3.55E-05,0.000123583,0.000145733,0.00014738,0.000642922,0.000838454,0.000967789,0.07047871,0.07623617,0.07675575,0.2290936,0.3135678,0.389778,3.87E-09,0.9583961,1.054456,5000,5935.504,0.8794013,5303.503,6928.238,0.009687077,5.94E-11,1002.138,1108.72,1114.206,6094.543,0.8794013
13,1002.138,1106.894,1114.203,1035.705,1109.358,1114.201,0.3078814,0.3158212,0.3508953,0.02744605,0.03892645,0.06747997,4.34E-05,4.59E-05,4.64E-05,2.50E-05,3.10E-05,3.71E-05,0.000123578,0.000145444,0.000147085,0.000549726,0.000819694,0.000965609,0.07047696,0.07616396,0.07668135,0.2004605,0.3067796,0.3893997,3.87E-09,0.9848044,1.053749,5000,5820.952,0.8876108,5158.148,6909.08,0.01048161,5.65E-11,1002.114,1107.442,1112.943,6050.594,0.8876108
14,1002.114,1105.626,1112.941,1035.26,1108.084,1112.939,0.3083832,0.3162081,0.3509023,0.02747119,0.03709127,0.05222452,4.34E-05,4.59E-05,4.64E-05,2.50E-05,3.06E-05,3.48E-05,0.000123574,0.000145172,0.000146818,0.000667034,0.000837773,0.000963951,0.07047558,0.07609683,0.07661433,0.2383119,0.3140598,0.3891042,3.87E-09,0.9931476,1.054678,5000,5692.643,0.8945372,5008.863,6830.278,0.01171757,4.81E-11,1002.075,1105.287,1110.687,5940.653,0.8945372
15,1002.075,1103.502,1110.684,1034.537,1105.914,1110.682,0.3091959,0.3168587,0.3509157,0.0275246,0.03668849,0.04874723,4.34E-05,4.58E-05,4.63E-05,2.50E-05,3.04E-05,3.41E-05,0.000123566,0.000144718,0.000146328,0.00069907,0.00084031,0.00096048,0.07047337,0.07598424,0.07649077,0.2503145,0.3159354,0.388499,3.87E-09,0.9808065,1.056123,5000,5567.514,0.9002124,4878.236,6740.236,0.01072459,7.79E-11,1002.028,1102.793,1108.081,5813.222,0.9002124
16,1002.028,1101.044,1108.078,1033.696,1103.407,1108.076,0.3101321,0.317613,0.3509324,0.02758872,0.03744205,0.05560496,4.34E-05,4.58E-05,4.62E-05,2.50E-05,3.05E-05,3.53E-05,0.000123556,0.000144191,0.000145762,0.000635218,0.000829296,0.000956405,0.07047067,0.07585352,0.076348,0.2276866,0.312358,0.3877888,3.87E-09,0.991407,1.056817,5000,5427.33,0.9044856,4731.898,6637.593,0.01117166,6.85E-11,1001.982,1100.499,1105.709,5699.499,0.9044856
17,1001.982,1098.781,1105.706,1032.915,1101.104,1105.704,0.3110197,0.3183139,0.3509483,0.02764516,0.03705341,0.05086521,4.34E-05,4.57E-05,4.62E-05,2.49E-05,3.03E-05,3.44E-05,0.000123547,0.000143708,0.000145253,0.000676247,0.000831215,0.000952847,0.07046805,0.07573346,0.0762194,0.242557,0.313914,0.3871629,3.87E-09,0.9985913,1.057731,5000,5281.976,0.9073054,4581.039,6518.671,0.01072907,5.84E-11,1001.933,1098.103,1103.204,5572.105,0.9073054
18,1001.933,1096.42,1103.201,1032.107,1098.694,1103.199,0.311953,0.3190504,0.3509651,0.02770514,0.03653818,0.04854196,4.34E-05,4.57E-05,4.61E-05,2.49E-05,3.01E-05,3.38E-05,0.000123537,0.000143205,0.000144714,0.000695555,0.000834778,0.000949061,0.07046523,0.07560826,0.07608294,0.2506767,0.3163738,0.3864979,3.87E-09,0.9980138,1.059142,5000,5149.693,0.9088023,4451.315,6390.246,0.01099439,4.25E-11,1001.882,1095.659,1100.634,5437.746,0.9088023
19,1001.882,1094.012,1100.631,1031.284,1096.235,1100.63,0.312903,0.3198037,0.3509824,0.02776809,0.03659596,0.04925431,4.34E-05,4.56E-05,4.60E-05,2.49E-05,3.00E-05,3.39E-05,0.000123527,0.000142692,0.000144161,0.000688258,0.000831639,0.000945123,0.07046233,0.07548049,0.07594239,0.2478692,0.3160072,0.3858065,3.87E-09,0.9992829,1.060271,5000,5027.844,0.9090808,4335.493,6269.673,0.009979547,9.06E-11,1001.836,1093.466,1098.335,5317.924,0.9090808
20,1001.836,1091.853,1098.332,1030.543,1094.031,1098.331,0.3137628,0.3204829,0.3509981,0.02782419,0.03654223,0.04942496,4.34E-05,4.56E-05,4.60E-05,2.49E-05,2.99E-05,3.38E-05,0.000123518,0.000142233,0.000143668,0.000684751,0.000830047,0.000941639,0.07045972,0.07536581,0.07581702,0.2472224,0.3162066,0.3851915,3.87E-09,1.00503,1.061187,5000,4915.884,0.9082396,4229.519,6154.34,0.008712391,8.17E-11,1001.795,1091.525,1096.296,5209.376,0.9082396
21,1001.795,1089.941,1096.293,1029.888,1092.078,1096.292,0.314529,0.3210871,0.3510122,0.02787362,0.03627508,0.04738543,4.34E-05,4.55E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123509,0.000141827,0.000143232,0.000703605,0.000831176,0.000938573,0.07045737,0.07526435,0.07570585,0.2548651,0.3175017,0.3846485,3.87E-09,1.006727,1.06218,5000,4821.118,0.9064508,4142.895,6045.459,0.008031424,3.53E-11,1001.759,1089.796,1094.471,5109.698,0.9064508
