Time,Tair_min,Tair_mean,Tair_max,Tfuel_min,Tfuel_mean,Tfuel_max,rhoAir_min,rhoAir_mean,rhoAir_max,rhoFuel_min,rhoFuel_mean,rhoFuel_max,muAir_min,muAir_mean,muAir_max,muFuel_min,muFuel_mean,muFuel_max,nuAir_min,nuAir_mean,nuAir_max,nuFuel_min,nuFuel_mean,nuFuel_max,kAir_min,kAir_mean,kAir_max,kFuel_min,kFuel_mean,kFuel_max,sumVolume,Nern_min,Nern_max,ibar0,ibar,stack_Voltage,min_curr,max_curr,Energy_Ir,Energy_Fr,Energy_t_min,Energy_t_mean,Energy_t_max,mean_curr,V
213,1001.83,1090.812,1097.118,1030.246,1092.981,1097.117,0.3142629,0.3208382,0.3509992,0.02784994,0.03610517,0.04698224,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142021,0.000143412,0.000708408,0.000834103,0.000939965,0.07045938,0.07531429,0.07575221,0.2565295,0.3184949,0.3849077,3.87E-09,1.006262,1.061133,5000,4999.966,0.8789853,4359.766,6090.315,0.000435667,8.92E-11,1001.83,1092.426,1097.12,5213.101,0.8789853
214,1001.83,1090.811,1097.118,1030.246,1092.981,1097.116,0.3142628,0.3208383,0.3509991,0.02784995,0.03610515,0.04698207,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142021,0.000143412,0.00070841,0.000834103,0.000939965,0.07045939,0.07531427,0.07575219,0.2565301,0.318495,0.3849076,3.87E-09,1.006264,1.061134,5000,4999.966,0.878985,4359.764,6090.319,0.000447845,3.89E-11,1001.83,1092.426,1097.12,5213.101,0.878985
215,1001.83,1090.811,1097.118,1030.246,1092.981,1097.116,0.3142631,0.3208383,0.3509992,0.02784995,0.03610512,0.04698188,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142021,0.000143412,0.000708412,0.000834103,0.000939964,0.07045938,0.07531428,0.07575218,0.2565309,0.3184951,0.3849076,3.87E-09,1.006264,1.061133,5000,4999.966,0.8789847,4359.764,6090.321,0.000465957,6.27E-11,1001.83,1092.426,1097.12,5213.101,0.8789847
216,1001.83,1090.811,1097.118,1030.246,1092.98,1097.116,0.314263,0.3208383,0.3509991,0.02784996,0.0361051,0.0469817,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143412,0.000708413,0.000834103,0.000939964,0.07045938,0.07531426,0.07575216,0.2565316,0.3184952,0.3849075,3.87E-09,1.006265,1.061133,5000,4999.966,0.8789843,4359.762,6090.321,0.000476259,6.55E-11,1001.83,1092.426,1097.12,5213.101,0.8789843
217,1001.83,1090.811,1097.117,1030.246,1092.98,1097.116,0.3142633,0.3208383,0.3509992,0.02784996,0.03610508,0.04698153,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142021,0.000143412,0.000708415,0.000834103,0.000939964,0.07045937,0.07531427,0.07575216,0.2565323,0.3184953,0.3849075,3.87E-09,1.006264,1.061133,5000,4999.966,0.878984,4359.761,6090.327,0.000494026,7.69E-11,1001.83,1092.425,1097.12,5213.101,0.878984
218,1001.83,1090.811,1097.117,1030.246,1092.98,1097.115,0.314263,0.3208383,0.3509991,0.02784997,0.03610506,0.04698136,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143412,0.000708417,0.000834103,0.000939963,0.07045939,0.07531426,0.07575214,0.256533,0.3184954,0.3849074,3.87E-09,1.006266,1.061133,5000,4999.967,0.8789837,4359.76,6090.326,0.000510444,7.13E-11,1001.83,1092.425,1097.119,5213.102,0.8789837
219,1001.83,1090.811,1097.117,1030.246,1092.98,1097.115,0.3142634,0.3208383,0.3509991,0.02784997,0.03610504,0.04698118,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.000142021,0.000143412,0.000708418,0.000834103,0.000939963,0.07045938,0.07531427,0.07575213,0.2565337,0.3184955,0.3849074,3.87E-09,1.006265,1.061133,5000,4999.967,0.8789833,4359.759,6090.333,0.000489331,5.22E-11,1001.83,1092.425,1097.119,5213.102,0.8789833
220,1001.83,1090.811,1097.117,1030.246,1092.979,1097.115,0.3142632,0.3208384,0.3509991,0.02784998,0.03610502,0.04698101,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143412,0.00070842,0.000834103,0.000939963,0.07045939,0.07531425,0.07575211,0.2565343,0.3184956,0.3849073,3.87E-09,1.006267,1.061133,5000,4999.968,0.878983,4359.757,6090.334,0.000474777,2.03E-11,1001.83,1092.425,1097.119,5213.103,0.878983
221,1001.83,1090.811,1097.117,1030.246,1092.979,1097.115,0.3142634,0.3208383,0.3509991,0.02784998,0.036105,0.04698084,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143412,0.000708421,0.000834103,0.000939962,0.07045938,0.07531426,0.0757521,0.256535,0.3184956,0.3849073,3.87E-09,1.006266,1.061133,5000,4999.967,0.8789827,4359.757,6090.34,0.000492994,8.49E-11,1001.83,1092.425,1097.119,5213.102,0.8789827
222,1001.83,1090.811,1097.116,1030.246,1092.979,1097.114,0.3142634,0.3208384,0.350999,0.02784999,0.03610498,0.04698067,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708423,0.000834103,0.000939962,0.0704594,0.07531424,0.07575208,0.2565357,0.3184957,0.3849071,3.87E-09,1.006267,1.061133,5000,4999.967,0.8789824,4359.755,6090.34,0.000506747,6.49E-11,1001.83,1092.425,1097.118,5213.102,0.8789824
223,1001.83,1090.811,1097.116,1030.246,1092.979,1097.114,0.3142635,0.3208384,0.3509991,0.02785,0.03610496,0.04698049,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708424,0.000834103,0.000939962,0.07045939,0.07531425,0.07575207,0.2565364,0.3184958,0.3849071,3.87E-09,1.006267,1.061132,5000,4999.967,0.878982,4359.754,6090.347,0.000479822,4.98E-11,1001.83,1092.424,1097.118,5213.102,0.878982
224,1001.83,1090.811,1097.116,1030.246,1092.979,1097.114,0.3142635,0.3208385,0.350999,0.02785,0.03610494,0.04698033,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708426,0.000834103,0.000939961,0.07045939,0.07531423,0.07575205,0.2565371,0.3184959,0.384907,3.87E-09,1.006268,1.061133,5000,4999.967,0.8789817,4359.752,6090.347,0.000450442,1.75E-11,1001.83,1092.424,1097.118,5213.102,0.8789817
225,1001.83,1090.811,1097.116,1030.246,1092.978,1097.114,0.3142637,0.3208384,0.3509991,0.02785001,0.03610492,0.04698016,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708428,0.000834103,0.000939961,0.07045938,0.07531424,0.07575205,0.2565378,0.318496,0.384907,3.87E-09,1.006268,1.061132,5000,4999.966,0.8789814,4359.751,6090.352,0.000462857,9.18E-11,1001.83,1092.424,1097.118,5213.101,0.8789814
226,1001.83,1090.81,1097.115,1030.246,1092.978,1097.113,0.3142635,0.3208385,0.350999,0.02785001,0.0361049,0.04697999,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708429,0.000834103,0.000939961,0.0704594,0.07531422,0.07575203,0.2565384,0.3184961,0.3849069,3.87E-09,1.006269,1.061132,5000,4999.966,0.878981,4359.749,6090.353,0.00049135,9.09E-11,1001.83,1092.424,1097.118,5213.101,0.878981
227,1001.83,1090.811,1097.115,1030.247,1092.978,1097.113,0.3142639,0.3208385,0.3509991,0.02785002,0.03610487,0.04697982,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708431,0.000834103,0.00093996,0.07045939,0.07531423,0.07575203,0.2565391,0.3184962,0.3849069,3.87E-09,1.006269,1.061132,5000,4999.967,0.8789807,4359.75,6090.356,0.000520951,7.01E-11,1001.831,1092.424,1097.117,5213.102,0.8789807
228,1001.831,1090.81,1097.115,1030.247,1092.978,1097.113,0.3142636,0.3208385,0.350999,0.02785002,0.03610485,0.04697966,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708432,0.000834103,0.00093996,0.07045941,0.07531422,0.07575201,0.2565397,0.3184963,0.3849068,3.87E-09,1.00627,1.061132,5000,4999.967,0.8789804,4359.748,6090.358,0.000498234,4.12E-11,1001.83,1092.424,1097.117,5213.102,0.8789804
229,1001.83,1090.81,1097.115,1030.247,1092.978,1097.113,0.3142641,0.3208385,0.3509991,0.02785002,0.03610483,0.0469795,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708434,0.000834104,0.00093996,0.07045939,0.07531423,0.07575201,0.2565404,0.3184964,0.3849068,3.87E-09,1.00627,1.061132,5000,4999.968,0.87898,4359.748,6090.363,0.000428201,5.41E-11,1001.83,1092.423,1097.117,5213.103,0.87898
230,1001.83,1090.81,1097.115,1030.247,1092.978,1097.113,0.3142636,0.3208386,0.350999,0.02785003,0.03610481,0.04697935,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708435,0.000834104,0.000939959,0.0704594,0.07531421,0.07575198,0.256541,0.3184965,0.3849067,3.87E-09,1.006271,1.061132,5000,4999.969,0.8789797,4359.747,6090.363,0.000481998,6.61E-11,1001.83,1092.423,1097.117,5213.104,0.8789797
231,1001.83,1090.81,1097.114,1030.247,1092.977,1097.113,0.3142641,0.3208386,0.350999,0.02785003,0.03610479,0.04697919,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708437,0.000834104,0.000939959,0.07045939,0.07531421,0.07575198,0.2565416,0.3184966,0.3849067,3.87E-09,1.006271,1.061132,5000,4999.969,0.8789794,4359.747,6090.367,0.00051679,6.72E-11,1001.831,1092.423,1097.117,5213.104,0.8789794
232,1001.831,1090.81,1097.114,1030.247,1092.977,1097.112,0.3142639,0.3208386,0.3509989,0.02785004,0.03610478,0.04697904,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708438,0.000834104,0.000939959,0.07045941,0.07531421,0.07575196,0.2565422,0.3184966,0.3849066,3.87E-09,1.006272,1.061132,5000,4999.97,0.8789791,4359.745,6090.373,0.000481518,8.36E-11,1001.831,1092.423,1097.116,5213.105,0.8789791
233,1001.831,1090.81,1097.114,1030.247,1092.977,1097.112,0.3142641,0.3208386,0.3509989,0.02785005,0.03610476,0.04697888,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708439,0.000834104,0.000939959,0.07045941,0.07531421,0.07575195,0.2565429,0.3184967,0.3849066,3.87E-09,1.006272,1.061131,5000,4999.969,0.8789788,4359.745,6090.378,0.000437259,7.31E-11,1001.83,1092.423,1097.116,5213.105,0.8789788
234,1001.83,1090.81,1097.114,1030.247,1092.977,1097.112,0.3142641,0.3208386,0.350999,0.02785005,0.03610474,0.04697872,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708441,0.000834104,0.000939958,0.0704594,0.07531419,0.07575194,0.2565435,0.3184968,0.3849065,3.87E-09,1.006273,1.061132,5000,4999.969,0.8789785,4359.743,6090.379,0.000440716,9.95E-11,1001.83,1092.423,1097.116,5213.105,0.8789785
235,1001.83,1090.81,1097.114,1030.247,1092.977,1097.112,0.3142642,0.3208386,0.350999,0.02785005,0.03610472,0.04697856,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708442,0.000834104,0.000939958,0.0704594,0.07531419,0.07575193,0.2565442,0.3184969,0.3849065,3.87E-09,1.006273,1.061131,5000,4999.969,0.8789782,4359.743,6090.383,0.000510171,6.36E-11,1001.831,1092.423,1097.116,5213.104,0.8789782
236,1001.831,1090.81,1097.113,1030.247,1092.976,1097.111,0.3142643,0.3208387,0.350999,0.02785006,0.0361047,0.04697841,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708444,0.000834104,0.000939958,0.0704594,0.07531418,0.07575191,0.2565447,0.318497,0.3849064,3.87E-09,1.006274,1.061132,5000,4999.969,0.8789779,4359.741,6090.387,0.00049875,5.28E-11,1001.83,1092.423,1097.116,5213.104,0.8789779
237,1001.83,1090.81,1097.113,1030.247,1092.976,1097.111,0.3142644,0.3208386,0.350999,0.02785006,0.03610468,0.04697825,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708445,0.000834104,0.000939957,0.0704594,0.07531419,0.0757519,0.2565454,0.3184971,0.3849064,3.87E-09,1.006274,1.061131,5000,4999.969,0.8789776,4359.74,6090.391,0.000427128,5.37E-11,1001.831,1092.422,1097.115,5213.104,0.8789776
238,1001.831,1090.809,1097.113,1030.247,1092.976,1097.111,0.3142643,0.3208387,0.3509989,0.02785007,0.03610466,0.0469781,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708446,0.000834104,0.000939957,0.07045941,0.07531417,0.07575189,0.256546,0.3184971,0.3849062,3.87E-09,1.006275,1.061131,5000,4999.969,0.8789772,4359.739,6090.394,0.000452873,5.26E-11,1001.831,1092.422,1097.115,5213.104,0.8789772
239,1001.831,1090.809,1097.113,1030.247,1092.976,1097.111,0.3142647,0.3208387,0.3509989,0.02785008,0.03610465,0.04697795,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708448,0.000834104,0.000939957,0.07045941,0.07531418,0.07575188,0.2565466,0.3184972,0.3849062,3.87E-09,1.006274,1.061131,5000,4999.968,0.8789769,4359.738,6090.397,0.000469785,4.24E-11,1001.831,1092.422,1097.115,5213.103,0.8789769
240,1001.831,1090.809,1097.112,1030.247,1092.976,1097.111,0.3142644,0.3208388,0.350999,0.02785008,0.03610463,0.0469778,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708449,0.000834104,0.000939956,0.07045941,0.07531416,0.07575186,0.2565472,0.3184973,0.3849062,3.87E-09,1.006275,1.061131,5000,4999.969,0.8789766,4359.737,6090.4,0.000476747,8.56E-11,1001.831,1092.422,1097.115,5213.103,0.8789766
241,1001.831,1090.809,1097.112,1030.247,1092.976,1097.11,0.3142648,0.3208388,0.350999,0.02785009,0.03610461,0.04697764,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708451,0.000834104,0.000939956,0.0704594,0.07531417,0.07575186,0.2565478,0.3184974,0.3849061,3.87E-09,1.006275,1.061131,5000,4999.969,0.8789763,4359.737,6090.403,0.000438938,8.15E-11,1001.831,1092.422,1097.114,5213.104,0.8789763
242,1001.831,1090.809,1097.112,1030.247,1092.975,1097.11,0.3142645,0.3208388,0.350999,0.02785009,0.03610459,0.0469775,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.000143411,0.000708452,0.000834104,0.000939956,0.07045941,0.07531416,0.07575184,0.2565484,0.3184975,0.3849061,3.87E-09,1.006276,1.061131,5000,4999.97,0.878976,4359.736,6090.405,0.00045219,2.85E-11,1001.831,1092.422,1097.114,5213.105,0.878976
243,1001.831,1090.809,1097.112,1030.247,1092.975,1097.11,0.3142648,0.3208388,0.3509989,0.02785009,0.03610457,0.04697735,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708453,0.000834104,0.000939956,0.07045941,0.07531416,0.07575183,0.2565489,0.3184976,0.384906,3.87E-09,1.006276,1.061131,5000,4999.97,0.8789757,4359.736,6090.409,0.000486324,9.30E-11,1001.831,1092.421,1097.114,5213.105,0.8789757
244,1001.831,1090.809,1097.112,1030.247,1092.975,1097.11,0.3142648,0.3208388,0.3509989,0.0278501,0.03610456,0.04697722,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708454,0.000834104,0.000939955,0.07045942,0.07531415,0.07575182,0.2565495,0.3184976,0.384906,3.87E-09,1.006277,1.061131,5000,4999.971,0.8789754,4359.735,6090.412,0.000469662,6.85E-11,1001.831,1092.421,1097.114,5213.106,0.8789754
245,1001.831,1090.809,1097.112,1030.248,1092.975,1097.11,0.3142649,0.3208388,0.3509989,0.0278501,0.03610454,0.04697706,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708456,0.000834104,0.000939955,0.07045942,0.07531416,0.07575181,0.2565501,0.3184977,0.3849059,3.87E-09,1.006277,1.06113,5000,4999.971,0.8789751,4359.735,6090.418,0.000446807,4.90E-11,1001.831,1092.421,1097.114,5213.105,0.8789751
246,1001.831,1090.809,1097.111,1030.248,1092.975,1097.11,0.3142648,0.3208389,0.3509989,0.02785011,0.03610452,0.04697693,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708457,0.000834104,0.000939955,0.07045941,0.07531415,0.0757518,0.2565506,0.3184978,0.3849059,3.87E-09,1.006278,1.061131,5000,4999.971,0.8789748,4359.734,6090.419,0.00043411,6.18E-11,1001.831,1092.421,1097.114,5213.106,0.8789748
247,1001.831,1090.809,1097.111,1030.248,1092.975,1097.109,0.314265,0.3208388,0.3509989,0.02785011,0.0361045,0.04697678,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708459,0.000834104,0.000939955,0.07045941,0.07531415,0.07575179,0.2565512,0.3184979,0.3849058,3.87E-09,1.006278,1.06113,5000,4999.971,0.8789745,4359.734,6090.425,0.00045612,5.76E-11,1001.831,1092.421,1097.113,5213.106,0.8789745
248,1001.831,1090.809,1097.111,1030.248,1092.974,1097.109,0.3142648,0.3208389,0.3509989,0.02785012,0.03610449,0.04697664,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.00070846,0.000834104,0.000939954,0.07045941,0.07531414,0.07575178,0.2565518,0.318498,0.3849058,3.87E-09,1.006279,1.061131,5000,4999.972,0.8789743,4359.733,6090.426,0.000467874,6.96E-11,1001.831,1092.421,1097.113,5213.106,0.8789743
249,1001.831,1090.809,1097.111,1030.248,1092.974,1097.109,0.3142652,0.3208389,0.3509989,0.02785012,0.03610447,0.0469765,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708461,0.000834104,0.000939954,0.07045942,0.07531414,0.07575177,0.2565524,0.318498,0.3849058,3.87E-09,1.006278,1.06113,5000,4999.972,0.878974,4359.733,6090.433,0.000437376,4.48E-11,1001.831,1092.421,1097.113,5213.107,0.878974
250,1001.831,1090.809,1097.111,1030.248,1092.974,1097.109,0.3142649,0.3208389,0.350999,0.02785012,0.03610445,0.04697636,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708462,0.000834104,0.000939954,0.07045941,0.07531414,0.07575176,0.2565529,0.3184981,0.3849057,3.87E-09,1.006279,1.06113,5000,4999.972,0.8789737,4359.732,6090.433,0.000429726,6.20E-11,1001.831,1092.421,1097.113,5213.107,0.8789737
251,1001.831,1090.809,1097.111,1030.248,1092.974,1097.109,0.3142654,0.3208389,0.3509989,0.02785013,0.03610443,0.04697622,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708464,0.000834104,0.000939954,0.07045941,0.07531414,0.07575175,0.2565535,0.3184982,0.3849057,3.87E-09,1.006279,1.06113,5000,4999.973,0.8789734,4359.731,6090.438,0.000449665,5.23E-11,1001.831,1092.42,1097.113,5213.107,0.8789734
252,1001.831,1090.809,1097.11,1030.248,1092.974,1097.109,0.314265,0.320839,0.3509989,0.02785013,0.03610442,0.04697609,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708465,0.000834104,0.000939953,0.07045942,0.07531413,0.07575174,0.256554,0.3184983,0.3849056,3.87E-09,1.00628,1.06113,5000,4999.973,0.8789732,4359.73,6090.44,0.00044257,5.35E-11,1001.831,1092.42,1097.113,5213.108,0.8789732
253,1001.831,1090.809,1097.11,1030.248,1092.974,1097.108,0.3142653,0.3208389,0.3509989,0.02785014,0.0361044,0.04697594,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708466,0.000834104,0.000939953,0.07045942,0.07531413,0.07575173,0.2565546,0.3184983,0.3849056,3.87E-09,1.00628,1.06113,5000,4999.973,0.8789729,4359.73,6090.445,0.000429105,8.48E-11,1001.831,1092.42,1097.112,5213.108,0.8789729
254,1001.831,1090.809,1097.11,1030.248,1092.974,1097.108,0.3142652,0.320839,0.3509989,0.02785014,0.03610439,0.04697581,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708467,0.000834104,0.000939953,0.07045942,0.07531412,0.07575172,0.2565551,0.3184984,0.3849055,3.87E-09,1.006281,1.06113,5000,4999.973,0.8789726,4359.729,6090.446,0.000444945,6.21E-11,1001.831,1092.42,1097.112,5213.108,0.8789726
255,1001.831,1090.809,1097.11,1030.248,1092.973,1097.108,0.3142654,0.320839,0.3509989,0.02785015,0.03610437,0.04697567,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708469,0.000834104,0.000939953,0.07045941,0.07531413,0.07575171,0.2565557,0.3184985,0.3849055,3.87E-09,1.006281,1.06113,5000,4999.974,0.8789724,4359.729,6090.447,0.000468275,4.11E-11,1001.831,1092.42,1097.112,5213.108,0.8789724
256,1001.831,1090.808,1097.11,1030.248,1092.973,1097.108,0.3142654,0.320839,0.3509989,0.02785015,0.03610435,0.04697554,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.00070847,0.000834104,0.000939952,0.07045942,0.07531412,0.0757517,0.2565562,0.3184986,0.3849054,3.87E-09,1.006282,1.06113,5000,4999.974,0.8789721,4359.728,6090.45,0.000448522,9.56E-11,1001.831,1092.42,1097.112,5213.109,0.8789721
257,1001.831,1090.808,1097.11,1030.248,1092.973,1097.108,0.3142654,0.320839,0.3509989,0.02785015,0.03610434,0.04697541,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708471,0.000834105,0.000939952,0.07045942,0.07531412,0.07575169,0.2565567,0.3184986,0.3849054,3.87E-09,1.006281,1.061129,5000,4999.974,0.8789718,4359.727,6090.454,0.000424584,5.05E-11,1001.831,1092.42,1097.112,5213.109,0.8789718
258,1001.831,1090.808,1097.109,1030.248,1092.973,1097.108,0.3142654,0.320839,0.3509989,0.02785016,0.03610432,0.04697528,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708472,0.000834105,0.000939952,0.07045942,0.07531411,0.07575168,0.2565572,0.3184987,0.3849053,3.87E-09,1.006282,1.06113,5000,4999.974,0.8789716,4359.726,6090.456,0.000470677,8.97E-11,1001.831,1092.42,1097.112,5213.109,0.8789716
259,1001.831,1090.808,1097.109,1030.248,1092.973,1097.107,0.3142656,0.320839,0.3509989,0.02785016,0.0361043,0.04697514,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708474,0.000834105,0.000939952,0.07045941,0.07531411,0.07575167,0.2565578,0.3184988,0.3849053,3.87E-09,1.006282,1.061129,5000,4999.975,0.8789713,4359.725,6090.46,0.000483357,2.83E-11,1001.831,1092.42,1097.111,5213.11,0.8789713
260,1001.831,1090.808,1097.109,1030.248,1092.973,1097.107,0.3142654,0.320839,0.3509988,0.02785016,0.03610429,0.04697502,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708475,0.000834105,0.000939951,0.07045943,0.07531411,0.07575166,0.2565583,0.3184989,0.3849053,3.87E-09,1.006283,1.06113,5000,4999.975,0.8789711,4359.724,6090.463,0.000450425,9.68E-11,1001.831,1092.42,1097.111,5213.11,0.8789711
261,1001.831,1090.808,1097.109,1030.248,1092.973,1097.107,0.3142658,0.320839,0.3509988,0.02785017,0.03610427,0.04697488,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708476,0.000834105,0.000939951,0.07045942,0.07531411,0.07575166,0.2565588,0.3184989,0.3849052,3.87E-09,1.006283,1.061129,5000,4999.975,0.8789708,4359.724,6090.469,0.000419604,4.03E-11,1001.831,1092.419,1097.111,5213.109,0.8789708
262,1001.831,1090.808,1097.109,1030.248,1092.972,1097.107,0.3142655,0.3208391,0.3509988,0.02785017,0.03610426,0.04697476,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708477,0.000834105,0.000939951,0.07045942,0.0753141,0.07575164,0.2565593,0.318499,0.3849051,3.87E-09,1.006284,1.061129,5000,4999.975,0.8789706,4359.722,6090.47,0.000422886,5.49E-11,1001.831,1092.419,1097.111,5213.109,0.8789706
263,1001.831,1090.808,1097.109,1030.249,1092.972,1097.107,0.314266,0.3208391,0.3509989,0.02785018,0.03610424,0.04697462,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.000708479,0.000834105,0.000939951,0.07045941,0.0753141,0.07575164,0.2565599,0.3184991,0.3849051,3.87E-09,1.006283,1.061129,5000,4999.974,0.8789703,4359.722,6090.471,0.000421359,9.42E-11,1001.831,1092.419,1097.111,5213.109,0.8789703
264,1001.831,1090.808,1097.108,1030.249,1092.972,1097.107,0.3142657,0.3208391,0.3509988,0.02785018,0.03610422,0.0469745,4.34E-05,4.56E-05,4.59E-05,2.49E-05,2.98E-05,3.33E-05,0.000123517,0.00014202,0.00014341,0.00070848,0.000834105,0.00093995,0.07045943,0.07531409,0.07575162,0.2565604,0.3184991,0.3849051,3.87E-09,1.006284,1.061129,5000,4999.974,0.87897,4359.72,6090.474,0.00039365,2.30E-11,1001.831,1092.419,1097.111,5213.109,0.87897
