Time,Tair_min,Tair_mean,Tair_max,Tfuel_min,Tfuel_mean,Tfuel_max,rhoAir_min,rhoAir_mean,rhoAir_max,rhoFuel_min,rhoFuel_mean,rhoFuel_max,muAir_min,muAir_mean,muAir_max,muFuel_min,muFuel_mean,muFuel_max,nuAir_min,nuAir_mean,nuAir_max,nuFuel_min,nuFuel_mean,nuFuel_max,kAir_min,kAir_mean,kAir_max,kFuel_min,kFuel_mean,kFuel_max,sumVolume,Nern_min,Nern_max,ibar0,ibar,V,stack_Voltage,min_curr,mean_curr,max_curr,Energy_Ir,Energy_Fr,Energy_t_min,Energy_t_mean,Energy_t_max
1, 1000, 1000, 1000, 1000, 1000, 1000, 0.3515907, 0.3515907, 0.3515907, 0.03046576, 0.03046576, 0.03046576, 4.330221e-05, 4.330221e-05, 4.330221e-05, 2.429684e-05, 2.429684e-05, 2.429684e-05, 0.0001231609, 0.0001231609, 0.0001231609, 0.0007975131, 0.0007975131, 0.0007975131, 0.07035484, 0.07035484, 0.07035484, 0.3584587, 0.3584587, 0.3584587, 3.84e-09, 1.11386, 1.11386, 5000, 5000, 0.8, 0.8, 5000, 5000, 5000, 1, 4.909149e-11, 1065.634, 1162.734, 1167.331
2, 1065.634, 1162.299, 1167.329, 1127.215, 1162.908, 1167.327, 0.2343724, 0.3024921, 0.370514, 0.02136403, 0.02619329, 0.03105822, 4.514203e-05, 4.776359e-05, 4.789775e-05, 2.678029e-05, 2.746385e-05, 2.754814e-05, 0.0001291957, 0.0001580163, 0.0002031309, 0.0008864779, 0.001049296, 0.001279168, 0.07406554, 0.07938832, 0.0796615, 0.3941291, 0.4039584, 0.4051707, 3.84e-09, 1.080404, 1.085068, 5000, 4297.392, 0.7929739, 0.7929739, 3334.691, 4297.392, 5268.008, 0.09241052, 5.850663e-11, 1063.219, 1148.499, 1152.791
3, 1063.219, 1148.13, 1152.789, 1117.678, 1148.655, 1152.788, 0.2111622, 0.3058626, 0.3984423, 0.02018985, 0.02678317, 0.03390381, 4.507482e-05, 4.735792e-05, 4.749182e-05, 2.659899e-05, 2.730682e-05, 2.753208e-05, 0.00011906, 0.0001550437, 0.0002235446, 0.0008116233, 0.00102104, 0.001348002, 0.07393018, 0.07860327, 0.07885852, 0.3914485, 0.3980344, 0.4005365, 3.84e-09, 1.079098, 1.08424, 5000, 4341.321, 0.7863871, 0.7863871, 3002.955, 4341.321, 5663.173, 0.0336878, 7.513894e-11, 1062.33, 1145.403, 1149.619
4, 1062.33, 1145.027, 1149.617, 1115.177, 1145.562, 1149.615, 0.2211294, 0.3064447, 0.3884561, 0.02123085, 0.02709878, 0.03375647, 4.504973e-05, 4.724851e-05, 4.739051e-05, 2.655674e-05, 2.737791e-05, 2.769463e-05, 0.0001217691, 0.0001543514, 0.0002129284, 0.0008204243, 0.001011487, 0.001283922, 0.07388016, 0.07841971, 0.0786755, 0.3873475, 0.3949039, 0.3991118, 3.84e-09, 1.076069, 1.08223, 5000, 4347.266, 0.7798598, 0.7798598, 3144.699, 4347.266, 5521.001, 0.01672175, 4.841004e-11, 1062.877, 1145.587, 1149.794
5, 1062.877, 1145.201, 1149.792, 1115.389, 1145.751, 1149.79, 0.2471993, 0.3062707, 0.3620816, 0.02332077, 0.02730382, 0.03218693, 4.50644e-05, 4.722827e-05, 4.737757e-05, 2.657097e-05, 2.751459e-05, 2.79186e-05, 0.0001305068, 0.0001542892, 0.0001903756, 0.0008673892, 0.001008323, 0.001171813, 0.07391048, 0.07841547, 0.07867471, 0.3843147, 0.3926342, 0.3983023, 3.84e-09, 1.072699, 1.080134, 5000, 4343.944, 0.7732992, 0.7732992, 3515.442, 4343.944, 5146.24, 0.01178055, 6.180123e-11, 1063.839, 1146.825, 1151.037
6, 1063.839, 1146.427, 1151.036, 1116.479, 1146.993, 1151.034, 0.2754044, 0.3058915, 0.3337931, 0.02536925, 0.02746136, 0.03034439, 4.509061e-05, 4.723757e-05, 4.739252e-05, 2.660621e-05, 2.767121e-05, 2.814849e-05, 0.0001364056, 0.0001544575, 0.0001709076, 0.0009276339, 0.001007906, 0.001077147, 0.07396414, 0.07846933, 0.0787322, 0.3820076, 0.3906652, 0.3975154, 3.84e-09, 1.069353, 1.0782, 5000, 4338.585, 0.7666851, 0.7666851, 3916.548, 4338.585, 4744.289, 0.01105019, 7.682766e-11, 1064.887, 1148.424, 1152.651
7, 1064.887, 1148.016, 1152.649, 1117.855, 1148.597, 1152.647, 0.2939668, 0.3054458, 0.3302175, 0.02667959, 0.02760106, 0.02889587, 4.511915e-05, 4.725786e-05, 4.741697e-05, 2.66505e-05, 2.783356e-05, 2.837263e-05, 0.0001366347, 0.0001547317, 0.0001603744, 0.0009749978, 0.001008611, 0.001029967, 0.0740225, 0.07854365, 0.0788098, 0.3801751, 0.3888229, 0.3971071, 3.84e-09, 1.066122, 1.076429, 5000, 4332.571, 0.7600108, 0.7600108, 4184.849, 4332.571, 4504.291, 0.009614723, 4.968416e-11, 1065.906, 1150.153, 1154.403
8, 1065.906, 1149.737, 1154.402, 1119.317, 1150.331, 1154.4, 0.2964184, 0.3049629, 0.3298914, 0.02677122, 0.0277379, 0.02929913, 4.514689e-05, 4.728292e-05, 4.74452e-05, 2.6699e-05, 2.799683e-05, 2.858819e-05, 0.0001368538, 0.0001550585, 0.0001592854, 0.0009650776, 0.001009551, 0.001030337, 0.07407926, 0.0786258, 0.07889493, 0.3782072, 0.3870493, 0.3970801, 3.84e-09, 1.063021, 1.074778, 5000, 4325.924, 0.75327, 0.75327, 4215.39, 4325.924, 4443.674, 0.008403818, 4.926436e-11, 1066.889, 1151.925, 1156.208
9, 1066.889, 1151.501, 1156.207, 1120.793, 1152.107, 1156.205, 0.2909529, 0.3044502, 0.3295862, 0.02677363, 0.02787838, 0.02966754, 4.517364e-05, 4.731038e-05, 4.747521e-05, 2.674927e-05, 2.815912e-05, 2.879513e-05, 0.0001370617, 0.0001554122, 0.0001622602, 0.0009569873, 0.001010317, 0.001041163, 0.074134, 0.07871099, 0.07898294, 0.3758364, 0.385324, 0.3970379, 3.84e-09, 1.06004, 1.073207, 5000, 4318.584, 0.7464559, 0.7464559, 4137.664, 4318.584, 4505.168, 0.007501267, 9.792956e-11, 1067.877, 1153.706, 1158.03
10, 1067.877, 1153.276, 1158.029, 1122.261, 1153.891, 1158.027, 0.2900646, 0.3039144, 0.3292833, 0.02677211, 0.02802374, 0.02981806, 4.520054e-05, 4.733932e-05, 4.750625e-05, 2.679989e-05, 2.831958e-05, 2.899428e-05, 0.0001372695, 0.0001557816, 0.0001627625, 0.0009582978, 0.001010816, 0.001039826, 0.07418904, 0.07879734, 0.07907203, 0.3735891, 0.3836404, 0.397084, 3.84e-09, 1.057166, 1.071698, 5000, 4310.651, 0.7395624, 0.7395624, 4125.033, 4310.651, 4501.885, 0.006898366, 8.587191e-11, 1068.848, 1155.485, 1159.856
11, 1068.848, 1155.049, 1159.854, 1123.72, 1155.673, 1159.852, 0.2920443, 0.3033652, 0.3289852, 0.02676011, 0.02817247, 0.02974876, 4.522695e-05, 4.736935e-05, 4.753852e-05, 2.685016e-05, 2.847783e-05, 2.918669e-05, 0.0001374741, 0.0001561615, 0.0001616704, 0.0009664681, 0.001011107, 0.001030452, 0.07424309, 0.0788842, 0.07916163, 0.3714582, 0.3819984, 0.3972192, 3.84e-09, 1.054385, 1.070239, 5000, 4302.345, 0.7325858, 0.7325858, 4153.185, 4302.345, 4454.369, 0.006462614, 6.124412e-11, 1069.791, 1157.263, 1161.684
12, 1069.791, 1156.821, 1161.682, 1125.177, 1157.453, 1161.68, 0.294863, 0.302812, 0.3286938, 0.02674716, 0.02832212, 0.0296267, 4.52526e-05, 4.740046e-05, 4.757253e-05, 2.689981e-05, 2.863375e-05, 2.937332e-05, 0.000137674, 0.0001565485, 0.0001601416, 0.0009761807, 0.001011287, 0.001030087, 0.07429553, 0.07897158, 0.07925184, 0.3694337, 0.3804007, 0.3973616, 3.84e-09, 1.051688, 1.068831, 5000, 4293.905, 0.7255249, 0.7255249, 4193.271, 4293.905, 4393.256, 0.006091236, 2.765284e-11, 1070.714, 1159.045, 1163.518
13, 1070.714, 1158.598, 1163.516, 1126.639, 1159.239, 1163.514, 0.2972572, 0.3022619, 0.3284074, 0.02673302, 0.02847035, 0.02966075, 4.527773e-05, 4.743274e-05, 4.760901e-05, 2.694877e-05, 2.878736e-05, 2.955495e-05, 0.0001378706, 0.0001569397, 0.0001588743, 0.0009833693, 0.001011442, 0.001030758, 0.0743469, 0.07905977, 0.07934299, 0.3675076, 0.3788507, 0.3975162, 3.84e-09, 1.049067, 1.067476, 5000, 4285.515, 0.71838, 0.71838, 4227.32, 4285.515, 4367.015, 0.005759525, 4.472894e-11, 1071.631, 1160.839, 1165.363
14, 1071.631, 1160.387, 1165.362, 1128.107, 1161.036, 1165.359, 0.2982808, 0.3017185, 0.3281234, 0.02671766, 0.02861548, 0.0299109, 4.530272e-05, 4.746628e-05, 4.764814e-05, 2.699692e-05, 2.893872e-05, 2.973216e-05, 0.0001380661, 0.0001573335, 0.0001584522, 0.0009857457, 0.001011629, 0.001031355, 0.07439793, 0.07914909, 0.07943538, 0.3656753, 0.377351, 0.3976862, 3.84e-09, 1.046518, 1.066179, 5000, 4277.275, 0.7111528, 0.7111528, 4241.875, 4277.275, 4358.998, 0.005492886, 5.882714e-11, 1072.537, 1162.65, 1167.225
15, 1072.537, 1162.192, 1167.223, 1129.584, 1162.849, 1167.221, 0.2977845, 0.3011826, 0.327844, 0.02670104, 0.02875655, 0.03013843, 4.532743e-05, 4.750115e-05, 4.768952e-05, 2.704435e-05, 2.90879e-05, 2.990542e-05, 0.0001382591, 0.0001577294, 0.0001588019, 0.000986649, 0.001011881, 0.001032397, 0.07444837, 0.07923975, 0.07952922, 0.3639281, 0.3759031, 0.3978731, 3.84e-09, 1.044035, 1.064941, 5000, 4269.212, 0.7038449, 0.7038449, 4234.817, 4269.212, 4351.595, 0.005289337, 8.365785e-11, 1073.438, 1164.478, 1169.104
16, 1073.438, 1164.015, 1169.102, 1131.074, 1164.68, 1169.1, 0.297126, 0.3006527, 0.3275678, 0.02668316, 0.02889324, 0.03032793, 4.535199e-05, 4.753732e-05, 4.773267e-05, 2.709115e-05, 2.923497e-05, 3.007508e-05, 0.0001384507, 0.000158128, 0.0001592038, 0.0009867794, 0.001012209, 0.001034811, 0.07449847, 0.07933181, 0.07962463, 0.3622574, 0.3745074, 0.3980769, 3.84e-09, 1.041614, 1.063761, 5000, 4261.301, 0.6964579, 0.6964579, 4225.453, 4261.301, 4344.72, 0.005147873, 9.801734e-11, 1074.335, 1166.325, 1171.002
17, 1074.335, 1165.857, 1171, 1132.576, 1166.529, 1170.997, 0.29651, 0.3001269, 0.3272933, 0.02666402, 0.02902566, 0.03047721, 4.53765e-05, 4.757473e-05, 4.777743e-05, 2.713743e-05, 2.937992e-05, 3.024147e-05, 0.0001386417, 0.00015853, 0.0001596152, 0.0009867614, 0.001012609, 0.001037273, 0.07454842, 0.07942524, 0.07972162, 0.3606429, 0.3731634, 0.3982967, 3.84e-09, 1.039251, 1.062636, 5000, 4253.502, 0.6889929, 0.6889929, 4216.693, 4253.502, 4338.193, 0.005040968, 8.224427e-11, 1075.233, 1168.189, 1172.916
18, 1075.233, 1167.716, 1172.914, 1134.09, 1168.395, 1172.911, 0.295933, 0.2996038, 0.3270194, 0.02664352, 0.02915413, 0.03061135, 4.540101e-05, 4.761328e-05, 4.782356e-05, 2.718305e-05, 2.952278e-05, 3.040486e-05, 0.0001388328, 0.0001589357, 0.0001600361, 0.0009869908, 0.00101307, 0.001039783, 0.07459835, 0.07951991, 0.07981993, 0.3590408, 0.3718699, 0.3985331, 3.84e-09, 1.036944, 1.061563, 5000, 4245.774, 0.6814507, 0.6814507, 4208.487, 4245.774, 4331.837, 0.004958893, 9.836044e-11, 1076.131, 1170.066, 1174.845
19, 1076.131, 1169.589, 1174.843, 1135.615, 1170.275, 1174.84, 0.2953747, 0.2990822, 0.3267457, 0.02662164, 0.02927899, 0.03074636, 4.542555e-05, 4.765285e-05, 4.787042e-05, 2.722793e-05, 2.966353e-05, 3.05655e-05, 0.0001390242, 0.0001593455, 0.0001604616, 0.0009876282, 0.001013581, 0.001042339, 0.07464832, 0.07961567, 0.0799194, 0.3574996, 0.3706254, 0.3987863, 3.84e-09, 1.034688, 1.060539, 5000, 4238.088, 0.6738315, 0.6738315, 4200.548, 4238.088, 4325.522, 0.004891609, 8.756524e-11, 1077.03, 1171.956, 1176.786
20, 1077.03, 1171.474, 1176.785, 1137.149, 1172.168, 1176.782, 0.2947388, 0.2985617, 0.326472, 0.02659844, 0.02940049, 0.03088928, 4.545014e-05, 4.769334e-05, 4.791789e-05, 2.727204e-05, 2.980217e-05, 3.072365e-05, 0.0001392161, 0.0001597593, 0.0001608911, 0.0009883608, 0.001014133, 0.001044939, 0.07469836, 0.0797124, 0.08001989, 0.3560137, 0.3694286, 0.3990561, 3.84e-09, 1.032486, 1.05956, 5000, 4230.43, 0.6661359, 0.6661359, 4191.504, 4230.43, 4319.175, 0.004835251, 4.900198e-11, 1077.932, 1173.858, 1178.74
21, 1077.932, 1173.371, 1178.738, 1138.691, 1174.072, 1178.736, 0.2940824, 0.298042, 0.3261982, 0.02657398, 0.02951874, 0.03104073, 4.547479e-05, 4.773469e-05, 4.79659e-05, 2.731501e-05, 2.993872e-05, 3.087956e-05, 0.0001394085, 0.0001601769, 0.0001613242, 0.000988838, 0.001014722, 0.001047579, 0.0747485, 0.07981, 0.08012138, 0.3545781, 0.3682785, 0.3993418, 3.84e-09, 1.030337, 1.058621, 5000, 4222.794, 0.6583638, 0.6583638, 4182.17, 4222.794, 4312.767, 0.004786713, 2.855133e-11, 1078.836, 1175.77, 1180.705
22, 1078.836, 1175.278, 1180.704, 1140.241, 1175.986, 1180.701, 0.293417, 0.2975232, 0.3259243, 0.02654833, 0.02963376, 0.0311979, 4.549951e-05, 4.777684e-05, 4.801439e-05, 2.735719e-05, 3.007322e-05, 3.103346e-05, 0.0001396015, 0.0001605982, 0.0001617609, 0.000989217, 0.00101535, 0.001050259, 0.07479877, 0.07990842, 0.08022374, 0.3531882, 0.3671738, 0.3996428, 3.84e-09, 1.028237, 1.057722, 5000, 4215.178, 0.6505156, 0.6505156, 4172.707, 4215.178, 4306.3, 0.004748555, 8.345194e-11, 1079.743, 1177.693, 1182.682
23, 1079.743, 1177.196, 1182.68, 1141.799, 1177.911, 1182.677, 0.2928298, 0.2970053, 0.32565, 0.02652155, 0.02974552, 0.03135705, 4.552432e-05, 4.781975e-05, 4.806329e-05, 2.739876e-05, 3.020569e-05, 3.118557e-05, 0.0001397953, 0.000161023, 0.0001622009, 0.0009896062, 0.001016018, 0.001052977, 0.07484922, 0.08000763, 0.08032688, 0.3518402, 0.3661138, 0.3999583, 3.84e-09, 1.026182, 1.056857, 5000, 4207.585, 0.6425914, 0.6425914, 4164.356, 4207.585, 4299.785, 0.004718072, 3.067648e-11, 1080.653, 1179.626, 1184.669
24, 1080.653, 1179.125, 1184.667, 1143.365, 1179.847, 1184.664, 0.2922827, 0.2964885, 0.3253751, 0.02649372, 0.02985395, 0.03151506, 4.554924e-05, 4.786338e-05, 4.811261e-05, 2.743978e-05, 3.033619e-05, 3.133607e-05, 0.0001399899, 0.0001614511, 0.0001626443, 0.0009900108, 0.001016729, 0.001055733, 0.07489985, 0.08010762, 0.08043079, 0.3505307, 0.3650975, 0.4002874, 3.84e-09, 1.02417, 1.056025, 5000, 4200.018, 0.6345916, 0.6345916, 4156.576, 4200.018, 4293.24, 0.004690384, 3.98686e-11, 1081.568, 1181.57, 1186.667
25, 1081.568, 1181.064, 1186.665, 1144.939, 1181.793, 1186.662, 0.2917475, 0.2959726, 0.3250996, 0.02646489, 0.02995904, 0.03167001, 4.557427e-05, 4.79077e-05, 4.816236e-05, 2.748031e-05, 3.046476e-05, 3.148511e-05, 0.0001401856, 0.0001618825, 0.000163091, 0.000990432, 0.001017487, 0.001058525, 0.07495071, 0.08020835, 0.08053543, 0.3492569, 0.364124, 0.4006294, 3.84e-09, 1.022197, 1.055224, 5000, 4192.477, 0.6265164, 0.6265164, 4148.965, 4192.477, 4286.679, 0.004665696, 6.145134e-11, 1082.488, 1183.524, 1188.676
26, 1082.488, 1183.013, 1188.674, 1146.522, 1183.75, 1188.671, 0.2912077, 0.2954578, 0.3248231, 0.02643513, 0.03006076, 0.03182115, 4.559943e-05, 4.795269e-05, 4.821248e-05, 2.75204e-05, 3.059145e-05, 3.163282e-05, 0.0001403823, 0.0001623172, 0.0001635411, 0.0009908705, 0.001018292, 0.001061353, 0.07500182, 0.08030983, 0.08064079, 0.3480166, 0.3631923, 0.4009836, 3.84e-09, 1.020262, 1.05445, 5000, 4184.963, 0.618366, 0.618366, 4141.288, 4184.963, 4280.11, 0.004641402, 9.827075e-11, 1083.412, 1185.489, 1190.696
27, 1083.412, 1184.974, 1190.694, 1148.114, 1185.717, 1190.692, 0.2906572, 0.294944, 0.3245458, 0.02640451, 0.03015912, 0.03196863, 4.562472e-05, 4.799831e-05, 4.826297e-05, 2.756011e-05, 3.071632e-05, 3.17793e-05, 0.0001405802, 0.000162755, 0.0001639944, 0.000991325, 0.001019146, 0.001064217, 0.07505318, 0.08041204, 0.08074686, 0.3468079, 0.3623014, 0.4013491, 3.84e-09, 1.018361, 1.053702, 5000, 4177.475, 0.6101407, 0.6101407, 4133.46, 4177.475, 4273.539, 0.004616797, 7.990619e-11, 1084.341, 1187.465, 1192.728
28, 1084.341, 1186.945, 1192.726, 1149.714, 1187.696, 1192.723, 0.2900967, 0.294431, 0.3242674, 0.02637309, 0.03025417, 0.03211296, 4.565015e-05, 4.804455e-05, 4.831382e-05, 2.759947e-05, 3.08394e-05, 3.192464e-05, 0.0001407793, 0.0001631959, 0.000164451, 0.0009917933, 0.00102005, 0.001067114, 0.07510481, 0.08051496, 0.08085364, 0.3456294, 0.3614505, 0.4017254, 3.84e-09, 1.016493, 1.052977, 5000, 4170.011, 0.6018409, 0.6018409, 4125.489, 4170.011, 4266.966, 0.004591875, 3.093231e-11, 1085.276, 1189.452, 1194.77
29, 1085.276, 1188.927, 1194.768, 1151.323, 1189.684, 1194.765, 0.28953, 0.2939187, 0.3239881, 0.02634091, 0.03034594, 0.03225479, 4.567571e-05, 4.809138e-05, 4.836502e-05, 2.763851e-05, 3.096074e-05, 3.20689e-05, 0.0001409796, 0.0001636399, 0.0001649108, 0.0009922731, 0.001021004, 0.001070045, 0.07515671, 0.08061857, 0.08096112, 0.3444799, 0.3606386, 0.4021118, 3.84e-09, 1.014657, 1.052275, 5000, 4162.569, 0.5934666, 0.5934666, 4117.429, 4162.569, 4260.389, 0.004566618, 7.725708e-11, 1086.215, 1191.448, 1196.823
30, 1086.215, 1190.919, 1196.821, 1152.941, 1191.683, 1196.818, 0.2889614, 0.2934072, 0.3237077, 0.02630803, 0.03043446, 0.03239462, 4.570141e-05, 4.813877e-05, 4.841655e-05, 2.767726e-05, 3.10804e-05, 3.221213e-05, 0.0001411811, 0.0001640871, 0.0001653738, 0.000992762, 0.001022007, 0.001073007, 0.07520889, 0.08072286, 0.08106924, 0.3433582, 0.3598646, 0.4025078, 3.84e-09, 1.012851, 1.051593, 5000, 4155.147, 0.585018, 0.585018, 4109.344, 4155.147, 4253.807, 0.004541087, 8.493524e-11, 1087.16, 1193.455, 1198.886
31, 1087.16, 1192.921, 1198.884, 1154.567, 1193.693, 1198.881, 0.2883947, 0.2928962, 0.3234263, 0.02627449, 0.03051978, 0.03253276, 4.572726e-05, 4.81867e-05, 4.84684e-05, 2.771576e-05, 3.119841e-05, 3.235436e-05, 0.0001413839, 0.0001645373, 0.00016584, 0.0009932522, 0.00102306, 0.001076002, 0.07526135, 0.08082779, 0.08117799, 0.3422636, 0.3591276, 0.4029129, 3.84e-09, 1.011073, 1.050929, 5000, 4147.742, 0.5764954, 0.5764954, 4101.285, 4147.742, 4247.218, 0.004515373, 7.361159e-11, 1088.11, 1195.472, 1200.96
32, 1088.11, 1194.933, 1200.958, 1156.202, 1195.712, 1200.955, 0.2878319, 0.2923858, 0.3231438, 0.02624034, 0.03060194, 0.03266936, 4.575324e-05, 4.823514e-05, 4.852057e-05, 2.775403e-05, 3.131481e-05, 3.249563e-05, 0.0001415879, 0.0001649905, 0.0001663093, 0.0009937455, 0.001024162, 0.001079027, 0.07531409, 0.08093337, 0.08128736, 0.3411952, 0.3584267, 0.4033267, 3.84e-09, 1.009324, 1.050282, 5000, 4140.353, 0.567899, 0.567899, 4093.281, 4140.353, 4240.62, 0.004489534, 8.193305e-11, 1089.066, 1197.499, 1203.044
33, 1089.066, 1196.956, 1203.042, 1157.844, 1197.742, 1203.039, 0.2872738, 0.291876, 0.3228602, 0.02620561, 0.03068098, 0.03280441, 4.577936e-05, 4.828408e-05, 4.857304e-05, 2.779208e-05, 3.142965e-05, 3.263598e-05, 0.0001417931, 0.0001654467, 0.0001667816, 0.0009942426, 0.001025315, 0.001082081, 0.07536711, 0.08103955, 0.08139731, 0.3401525, 0.357761, 0.4037486, 3.84e-09, 1.007601, 1.049651, 5000, 4132.979, 0.5592288, 0.5592288, 4085.344, 4132.979, 4234.012, 0.004463707, 2.434184e-11, 1090.026, 1199.536, 1205.139
34, 1090.026, 1198.988, 1205.137, 1159.495, 1199.781, 1205.134, 0.2867203, 0.2913665, 0.3225757, 0.02617033, 0.03075693, 0.03293786, 4.580562e-05, 4.833348e-05, 4.862581e-05, 2.782995e-05, 3.154297e-05, 3.277542e-05, 0.0001419996, 0.0001659059, 0.000167257, 0.000994738, 0.001026517, 0.001085165, 0.0754204, 0.08114634, 0.08150784, 0.3391349, 0.3571296, 0.4041784, 3.84e-09, 1.005905, 1.049034, 5000, 4125.619, 0.5504849, 0.5504849, 4077.473, 4125.619, 4227.395, 0.004437912, 6.581944e-11, 1090.992, 1201.583, 1207.243
35, 1090.992, 1201.03, 1207.241, 1161.155, 1201.83, 1207.238, 0.2861708, 0.2908575, 0.3222901, 0.02613455, 0.03082982, 0.03306964, 4.583202e-05, 4.838335e-05, 4.867886e-05, 2.786765e-05, 3.165481e-05, 3.291397e-05, 0.0001422074, 0.0001663681, 0.0001677353, 0.000995228, 0.001027769, 0.001088278, 0.07547398, 0.08125371, 0.08161894, 0.3381419, 0.3565316, 0.4046156, 3.84e-09, 1.004234, 1.048431, 5000, 4118.272, 0.5416677, 0.5416677, 4069.658, 4118.272, 4220.767, 0.004412184, 1.788032e-11, 1091.963, 1203.64, 1209.358
36, 1091.963, 1203.082, 1209.356, 1162.822, 1203.889, 1209.353, 0.2856245, 0.2903489, 0.3220034, 0.02609829, 0.03089971, 0.03319967, 4.585856e-05, 4.843364e-05, 4.873219e-05, 2.790519e-05, 3.17652e-05, 3.305166e-05, 0.0001424164, 0.0001668331, 0.0001682167, 0.0009955417, 0.001029072, 0.001091418, 0.07552783, 0.08136165, 0.08173059, 0.337173, 0.3559661, 0.4050598, 3.84e-09, 1.002588, 1.04784, 5000, 4110.936, 0.532777, 0.532777, 4061.889, 4110.936, 4214.13, 0.004386596, 7.089304e-11, 1092.94, 1205.705, 1211.482
37, 1092.94, 1205.143, 1211.48, 1164.497, 1205.957, 1211.477, 0.2850808, 0.2898406, 0.3217158, 0.02606158, 0.03096662, 0.03332791, 4.588523e-05, 4.848436e-05, 4.878579e-05, 2.79426e-05, 3.187419e-05, 3.318849e-05, 0.0001426266, 0.000167301, 0.0001687009, 0.0009958166, 0.001030424, 0.001094586, 0.07558196, 0.08147014, 0.08184277, 0.3362279, 0.3554324, 0.4055108, 3.84e-09, 1.000966, 1.04726, 5000, 4103.612, 0.5238131, 0.5238131, 4054.157, 4103.612, 4207.485, 0.004361182, 7.857945e-11, 1093.922, 1207.781, 1213.616
38, 1093.922, 1207.213, 1213.614, 1166.18, 1208.035, 1213.611, 0.2845393, 0.2893327, 0.3214271, 0.02602445, 0.03103059, 0.03345434, 4.591204e-05, 4.853548e-05, 4.883965e-05, 2.797989e-05, 3.198181e-05, 3.332447e-05, 0.0001428381, 0.0001677717, 0.0001691881, 0.0009961182, 0.001031826, 0.00109778, 0.07563636, 0.08157918, 0.08195549, 0.3353063, 0.3549296, 0.4059683, 3.84e-09, 0.9993677, 1.046691, 5000, 4096.299, 0.5147761, 0.5147761, 4046.457, 4096.299, 4200.831, 0.004335958, 6.787472e-11, 1094.908, 1209.865, 1215.76
39, 1094.908, 1209.293, 1215.758, 1167.872, 1210.122, 1215.755, 0.2839997, 0.2888252, 0.3211375, 0.02598692, 0.03109168, 0.03357892, 4.593898e-05, 4.858699e-05, 4.889377e-05, 2.801708e-05, 3.208811e-05, 3.345962e-05, 0.0001430508, 0.0001682452, 0.0001696782, 0.0009964473, 0.001033278, 0.001101001, 0.07569103, 0.08168874, 0.08206872, 0.3344078, 0.3544569, 0.4064319, 3.84e-09, 0.997792, 1.046132, 5000, 4088.996, 0.5056661, 0.5056661, 4038.783, 4088.996, 4194.169, 0.004310925, 9.81335e-11, 1095.9, 1211.959, 1217.913
40, 1095.9, 1211.382, 1217.911, 1169.57, 1212.219, 1217.908, 0.2834619, 0.288318, 0.3208469, 0.02594903, 0.03114991, 0.03370166, 4.596605e-05, 4.863887e-05, 4.894815e-05, 2.805417e-05, 3.21931e-05, 3.359395e-05, 0.0001432648, 0.0001687215, 0.0001701712, 0.0009968039, 0.00103478, 0.001104247, 0.07574597, 0.08179882, 0.08218245, 0.3335322, 0.3540136, 0.4069014, 3.84e-09, 0.9962386, 1.045581, 5000, 4081.703, 0.4964831, 0.4964831, 4031.134, 4081.703, 4187.501, 0.004286109, 3.461013e-11, 1096.898, 1214.062, 1220.076
41, 1096.898, 1213.481, 1220.074, 1171.277, 1214.324, 1220.07, 0.2829258, 0.287811, 0.3205553, 0.02591078, 0.03120533, 0.03382253, 4.599326e-05, 4.869111e-05, 4.900305e-05, 2.809118e-05, 3.229684e-05, 3.372745e-05, 0.0001434799, 0.0001692006, 0.0001706669, 0.0009971886, 0.001036331, 0.001107519, 0.07580118, 0.08190941, 0.08229667, 0.3326793, 0.353599, 0.4073766, 3.84e-09, 0.994707, 1.045039, 5000, 4074.419, 0.4872273, 0.4872273, 4023.51, 4074.419, 4180.826, 0.004261501, 3.133509e-11, 1097.9, 1216.174, 1222.248
42, 1097.9, 1215.588, 1222.246, 1172.991, 1216.438, 1222.242, 0.2823914, 0.2873044, 0.3202628, 0.02587221, 0.03125798, 0.03394153, 4.602059e-05, 4.87437e-05, 4.905821e-05, 2.812812e-05, 3.239935e-05, 3.386013e-05, 0.0001436963, 0.0001696824, 0.0001711655, 0.0009976016, 0.001037931, 0.001110815, 0.07585665, 0.08202049, 0.08241138, 0.3318488, 0.3532123, 0.4078572, 3.84e-09, 0.9931966, 1.044505, 5000, 4067.143, 0.4778988, 0.4778988, 4015.911, 4067.143, 4174.145, 0.004237099, 7.137569e-11, 1098.907, 1218.295, 1224.429
43, 1098.907, 1217.704, 1224.427, 1174.713, 1218.562, 1224.424, 0.2818587, 0.286798, 0.3199694, 0.02583334, 0.03130791, 0.03405863, 4.604806e-05, 4.879662e-05, 4.911362e-05, 2.8165e-05, 3.250067e-05, 3.399199e-05, 0.000143914, 0.0001701669, 0.0001716669, 0.0009980434, 0.001039581, 0.001114136, 0.07591239, 0.08213204, 0.08252656, 0.3310406, 0.3528528, 0.408343, 3.84e-09, 0.991707, 1.043978, 5000, 4059.876, 0.4684975, 0.4684975, 4008.336, 4059.876, 4167.458, 0.00421292, 5.96022e-11, 1099.919, 1220.425, 1226.619
